Image,Label
data/train/image\0\1.jpg,data/train/label/0.jpg
data/train/image\0\1000.jpg,data/train/label/0.jpg
data/train/image\0\10005.jpg,data/train/label/0.jpg
data/train/image\0\10010.jpg,data/train/label/0.jpg
data/train/image\0\10022.jpg,data/train/label/0.jpg
data/train/image\0\10025.jpg,data/train/label/0.jpg
data/train/image\0\10026.jpg,data/train/label/0.jpg
data/train/image\0\10045.jpg,data/train/label/0.jpg
data/train/image\0\10069.jpg,data/train/label/0.jpg
data/train/image\0\10071.jpg,data/train/label/0.jpg
data/train/image\0\10080.jpg,data/train/label/0.jpg
data/train/image\0\10083.jpg,data/train/label/0.jpg
data/train/image\0\10107.jpg,data/train/label/0.jpg
data/train/image\0\10119.jpg,data/train/label/0.jpg
data/train/image\0\10120.jpg,data/train/label/0.jpg
data/train/image\0\10121.jpg,data/train/label/0.jpg
data/train/image\0\10128.jpg,data/train/label/0.jpg
data/train/image\0\10140.jpg,data/train/label/0.jpg
data/train/image\0\1015.jpg,data/train/label/0.jpg
data/train/image\0\10167.jpg,data/train/label/0.jpg
data/train/image\0\10168.jpg,data/train/label/0.jpg
data/train/image\0\10176.jpg,data/train/label/0.jpg
data/train/image\0\1018.jpg,data/train/label/0.jpg
data/train/image\0\10188.jpg,data/train/label/0.jpg
data/train/image\0\10195.jpg,data/train/label/0.jpg
data/train/image\0\10203.jpg,data/train/label/0.jpg
data/train/image\0\10204.jpg,data/train/label/0.jpg
data/train/image\0\10221.jpg,data/train/label/0.jpg
data/train/image\0\10230.jpg,data/train/label/0.jpg
data/train/image\0\10237.jpg,data/train/label/0.jpg
data/train/image\0\10240.jpg,data/train/label/0.jpg
data/train/image\0\10242.jpg,data/train/label/0.jpg
data/train/image\0\10245.jpg,data/train/label/0.jpg
data/train/image\0\10254.jpg,data/train/label/0.jpg
data/train/image\0\10259.jpg,data/train/label/0.jpg
data/train/image\0\10261.jpg,data/train/label/0.jpg
data/train/image\0\10265.jpg,data/train/label/0.jpg
data/train/image\0\10272.jpg,data/train/label/0.jpg
data/train/image\0\10276.jpg,data/train/label/0.jpg
data/train/image\0\1028.jpg,data/train/label/0.jpg
data/train/image\0\10283.jpg,data/train/label/0.jpg
data/train/image\0\1029.jpg,data/train/label/0.jpg
data/train/image\0\10323.jpg,data/train/label/0.jpg
data/train/image\0\10326.jpg,data/train/label/0.jpg
data/train/image\0\10334.jpg,data/train/label/0.jpg
data/train/image\0\10340.jpg,data/train/label/0.jpg
data/train/image\0\10343.jpg,data/train/label/0.jpg
data/train/image\0\10348.jpg,data/train/label/0.jpg
data/train/image\0\10352.jpg,data/train/label/0.jpg
data/train/image\0\10363.jpg,data/train/label/0.jpg
data/train/image\0\10366.jpg,data/train/label/0.jpg
data/train/image\0\10372.jpg,data/train/label/0.jpg
data/train/image\0\10380.jpg,data/train/label/0.jpg
data/train/image\0\10384.jpg,data/train/label/0.jpg
data/train/image\0\1040.jpg,data/train/label/0.jpg
data/train/image\0\10407.jpg,data/train/label/0.jpg
data/train/image\0\10425.jpg,data/train/label/0.jpg
data/train/image\0\10439.jpg,data/train/label/0.jpg
data/train/image\0\10456.jpg,data/train/label/0.jpg
data/train/image\0\1046.jpg,data/train/label/0.jpg
data/train/image\0\10469.jpg,data/train/label/0.jpg
data/train/image\0\10471.jpg,data/train/label/0.jpg
data/train/image\0\10479.jpg,data/train/label/0.jpg
data/train/image\0\10488.jpg,data/train/label/0.jpg
data/train/image\0\1049.jpg,data/train/label/0.jpg
data/train/image\0\10505.jpg,data/train/label/0.jpg
data/train/image\0\10523.jpg,data/train/label/0.jpg
data/train/image\0\10530.jpg,data/train/label/0.jpg
data/train/image\0\10531.jpg,data/train/label/0.jpg
data/train/image\0\10542.jpg,data/train/label/0.jpg
data/train/image\0\10563.jpg,data/train/label/0.jpg
data/train/image\0\10564.jpg,data/train/label/0.jpg
data/train/image\0\10579.jpg,data/train/label/0.jpg
data/train/image\0\10599.jpg,data/train/label/0.jpg
data/train/image\0\10604.jpg,data/train/label/0.jpg
data/train/image\0\10625.jpg,data/train/label/0.jpg
data/train/image\0\10645.jpg,data/train/label/0.jpg
data/train/image\0\10664.jpg,data/train/label/0.jpg
data/train/image\0\10689.jpg,data/train/label/0.jpg
data/train/image\0\10691.jpg,data/train/label/0.jpg
data/train/image\0\10700.jpg,data/train/label/0.jpg
data/train/image\0\10705.jpg,data/train/label/0.jpg
data/train/image\0\10732.jpg,data/train/label/0.jpg
data/train/image\0\10747.jpg,data/train/label/0.jpg
data/train/image\0\10750.jpg,data/train/label/0.jpg
data/train/image\0\10755.jpg,data/train/label/0.jpg
data/train/image\0\1076.jpg,data/train/label/0.jpg
data/train/image\0\10773.jpg,data/train/label/0.jpg
data/train/image\0\1078.jpg,data/train/label/0.jpg
data/train/image\0\10781.jpg,data/train/label/0.jpg
data/train/image\0\108.jpg,data/train/label/0.jpg
data/train/image\0\10801.jpg,data/train/label/0.jpg
data/train/image\0\10806.jpg,data/train/label/0.jpg
data/train/image\0\10821.jpg,data/train/label/0.jpg
data/train/image\0\10840.jpg,data/train/label/0.jpg
data/train/image\0\10844.jpg,data/train/label/0.jpg
data/train/image\0\10849.jpg,data/train/label/0.jpg
data/train/image\0\10859.jpg,data/train/label/0.jpg
data/train/image\0\10861.jpg,data/train/label/0.jpg
data/train/image\0\10874.jpg,data/train/label/0.jpg
data/train/image\0\1090.jpg,data/train/label/0.jpg
data/train/image\0\10909.jpg,data/train/label/0.jpg
data/train/image\0\10914.jpg,data/train/label/0.jpg
data/train/image\0\10916.jpg,data/train/label/0.jpg
data/train/image\0\10919.jpg,data/train/label/0.jpg
data/train/image\0\10924.jpg,data/train/label/0.jpg
data/train/image\0\1093.jpg,data/train/label/0.jpg
data/train/image\0\10938.jpg,data/train/label/0.jpg
data/train/image\0\10974.jpg,data/train/label/0.jpg
data/train/image\0\10975.jpg,data/train/label/0.jpg
data/train/image\0\10992.jpg,data/train/label/0.jpg
data/train/image\0\11003.jpg,data/train/label/0.jpg
data/train/image\0\11014.jpg,data/train/label/0.jpg
data/train/image\0\11019.jpg,data/train/label/0.jpg
data/train/image\0\1102.jpg,data/train/label/0.jpg
data/train/image\0\11022.jpg,data/train/label/0.jpg
data/train/image\0\11026.jpg,data/train/label/0.jpg
data/train/image\0\11027.jpg,data/train/label/0.jpg
data/train/image\0\11029.jpg,data/train/label/0.jpg
data/train/image\0\11036.jpg,data/train/label/0.jpg
