Image,Label
data/train/image\8\10001.jpg,data/train/label/8.jpg
data/train/image\8\10012.jpg,data/train/label/8.jpg
data/train/image\8\10021.jpg,data/train/label/8.jpg
data/train/image\8\10041.jpg,data/train/label/8.jpg
data/train/image\8\10054.jpg,data/train/label/8.jpg
data/train/image\8\10057.jpg,data/train/label/8.jpg
data/train/image\8\10061.jpg,data/train/label/8.jpg
data/train/image\8\10064.jpg,data/train/label/8.jpg
data/train/image\8\10066.jpg,data/train/label/8.jpg
data/train/image\8\10079.jpg,data/train/label/8.jpg
data/train/image\8\1009.jpg,data/train/label/8.jpg
data/train/image\8\10115.jpg,data/train/label/8.jpg
data/train/image\8\10124.jpg,data/train/label/8.jpg
data/train/image\8\10126.jpg,data/train/label/8.jpg
data/train/image\8\1013.jpg,data/train/label/8.jpg
data/train/image\8\10151.jpg,data/train/label/8.jpg
data/train/image\8\1016.jpg,data/train/label/8.jpg
data/train/image\8\10187.jpg,data/train/label/8.jpg
data/train/image\8\10189.jpg,data/train/label/8.jpg
data/train/image\8\10197.jpg,data/train/label/8.jpg
data/train/image\8\10201.jpg,data/train/label/8.jpg
data/train/image\8\10217.jpg,data/train/label/8.jpg
data/train/image\8\10222.jpg,data/train/label/8.jpg
data/train/image\8\10233.jpg,data/train/label/8.jpg
data/train/image\8\1025.jpg,data/train/label/8.jpg
data/train/image\8\10250.jpg,data/train/label/8.jpg
data/train/image\8\1026.jpg,data/train/label/8.jpg
data/train/image\8\10274.jpg,data/train/label/8.jpg
data/train/image\8\10281.jpg,data/train/label/8.jpg
data/train/image\8\10319.jpg,data/train/label/8.jpg
data/train/image\8\10339.jpg,data/train/label/8.jpg
data/train/image\8\10358.jpg,data/train/label/8.jpg
data/train/image\8\10359.jpg,data/train/label/8.jpg
data/train/image\8\10379.jpg,data/train/label/8.jpg
data/train/image\8\10395.jpg,data/train/label/8.jpg
data/train/image\8\10398.jpg,data/train/label/8.jpg
data/train/image\8\10422.jpg,data/train/label/8.jpg
data/train/image\8\10426.jpg,data/train/label/8.jpg
data/train/image\8\10444.jpg,data/train/label/8.jpg
data/train/image\8\10446.jpg,data/train/label/8.jpg
data/train/image\8\10447.jpg,data/train/label/8.jpg
data/train/image\8\1045.jpg,data/train/label/8.jpg
data/train/image\8\10482.jpg,data/train/label/8.jpg
data/train/image\8\10486.jpg,data/train/label/8.jpg
data/train/image\8\10490.jpg,data/train/label/8.jpg
data/train/image\8\10499.jpg,data/train/label/8.jpg
data/train/image\8\10513.jpg,data/train/label/8.jpg
data/train/image\8\10515.jpg,data/train/label/8.jpg
data/train/image\8\10551.jpg,data/train/label/8.jpg
data/train/image\8\10559.jpg,data/train/label/8.jpg
data/train/image\8\10561.jpg,data/train/label/8.jpg
data/train/image\8\10572.jpg,data/train/label/8.jpg
data/train/image\8\10575.jpg,data/train/label/8.jpg
data/train/image\8\10584.jpg,data/train/label/8.jpg
data/train/image\8\1059.jpg,data/train/label/8.jpg
data/train/image\8\10592.jpg,data/train/label/8.jpg
data/train/image\8\10595.jpg,data/train/label/8.jpg
data/train/image\8\10596.jpg,data/train/label/8.jpg
data/train/image\8\10611.jpg,data/train/label/8.jpg
data/train/image\8\10619.jpg,data/train/label/8.jpg
data/train/image\8\10628.jpg,data/train/label/8.jpg
data/train/image\8\1063.jpg,data/train/label/8.jpg
data/train/image\8\10632.jpg,data/train/label/8.jpg
data/train/image\8\1064.jpg,data/train/label/8.jpg
data/train/image\8\10649.jpg,data/train/label/8.jpg
data/train/image\8\10655.jpg,data/train/label/8.jpg
data/train/image\8\10663.jpg,data/train/label/8.jpg
data/train/image\8\1067.jpg,data/train/label/8.jpg
data/train/image\8\10694.jpg,data/train/label/8.jpg
data/train/image\8\10710.jpg,data/train/label/8.jpg
data/train/image\8\10711.jpg,data/train/label/8.jpg
data/train/image\8\10720.jpg,data/train/label/8.jpg
data/train/image\8\10726.jpg,data/train/label/8.jpg
data/train/image\8\10733.jpg,data/train/label/8.jpg
data/train/image\8\10738.jpg,data/train/label/8.jpg
data/train/image\8\10753.jpg,data/train/label/8.jpg
data/train/image\8\10771.jpg,data/train/label/8.jpg
data/train/image\8\10797.jpg,data/train/label/8.jpg
data/train/image\8\10800.jpg,data/train/label/8.jpg
data/train/image\8\10817.jpg,data/train/label/8.jpg
data/train/image\8\10818.jpg,data/train/label/8.jpg
data/train/image\8\10837.jpg,data/train/label/8.jpg
data/train/image\8\10856.jpg,data/train/label/8.jpg
data/train/image\8\1086.jpg,data/train/label/8.jpg
data/train/image\8\10862.jpg,data/train/label/8.jpg
data/train/image\8\10866.jpg,data/train/label/8.jpg
data/train/image\8\10881.jpg,data/train/label/8.jpg
data/train/image\8\10889.jpg,data/train/label/8.jpg
data/train/image\8\10895.jpg,data/train/label/8.jpg
data/train/image\8\10901.jpg,data/train/label/8.jpg
